Name	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland
ENSG00000179172.10	0.067297	0.081656	0.08091
ENSG00000120952.4	0.0	0.0	0.0
ENSG00000243073.4	0.0	0.0	0.0
ENSG00000187545.5	0.0	0.0	0.0
ENSG00000204510.5	0.0	0.0	0.0
ENSG00000207434.1	0.0	0.0	0.0
ENSG00000234064.1	0.0	0.0	0.0
ENSG00000232423.6	0.0	0.0	0.0
ENSG00000274178.2	0.0	0.0	0.0
ENSG00000274764.6	0.0	0.0	0.0
ENSG00000277058.3	0.0097715	0.015136	0.012583
ENSG00000229571.7	0.0	0.0	0.0
ENSG00000277862.1	0.0	0.0	0.0
ENSG00000236179.1	0.0	0.0	0.0
ENSG00000275774.3	0.0	0.0	0.0
ENSG00000229978.1	0.0	0.0	0.0
ENSG00000233336.1	0.0	0.0	0.0
ENSG00000280267.5	0.0	0.0	0.0
ENSG00000179412.11	0.0	0.0	0.0
ENSG00000204505.5	0.0	0.0	0.0
ENSG00000279169.3	0.0	0.0	0.0
ENSG00000279804.2	0.0	0.0	0.0
ENSG00000250894.1	0.0	0.0	0.0
ENSG00000270601.4	0.0	0.0	0.0
ENSG00000231219.1	0.0	0.0	0.0
ENSG00000207511.1	0.0	0.0	0.0
ENSG00000182330.10	0.0	0.0	0.0
ENSG00000237700.2	0.0	0.0	0.0
ENSG00000204501.7	0.0	0.0	0.0
ENSG00000228229.2	0.0	0.0	0.0
ENSG00000204481.8	0.0	0.0	0.0
ENSG00000204480.8	0.0	0.0	0.0
ENSG00000204479.4	0.0	0.0	0.0
ENSG00000204478.10	0.0	0.0	0.0
ENSG00000162494.6	0.0645745	0.470243	22.1856
ENSG00000259961.1	0.0	0.0	0.688752
ENSG00000215909.3	0.0	0.0	0.0
ENSG00000162493.17	11.5	51.426	2.48629
ENSG00000222952.1	0.0	0.0	0.0
ENSG00000237445.2	0.0	0.078705	0.0
ENSG00000253085.1	0.0	0.0	0.0
ENSG00000116731.23	18.6164	15.7647	10.5813
ENSG00000289380.1	0.18238	0.200463	0.092312
ENSG00000189337.17	8.60761	9.38549	11.2449
ENSG00000252151.1	0.0	0.0	0.0
ENSG00000231606.2	0.338287	0.313053	0.029148
ENSG00000234593.3	0.027026	0.013996	0.0
ENSG00000235829.1	0.0	0.0	0.0
ENSG00000287756.1	0.0	0.0	0.0
ENSG00000175147.13	0.28782	0.191163	1.11398
ENSG00000171729.14	6.56939	7.77972	28.5902
ENSG00000204464.7	0.0	0.0	0.064145
ENSG00000215720.4	0.0	0.0	0.0
ENSG00000278480.1	0.0	0.0	0.0
ENSG00000142621.21	0.0922595	0.053403	0.145392
ENSG00000233485.1	0.084315	0.074668	1.77344
ENSG00000236045.1	0.0	0.0	0.411821
ENSG00000228140.2	0.0323415	0.040552	0.109647
ENSG00000142634.13	62.0785	57.4961	86.6879
ENSG00000162438.12	0.321938	0.287891	0.332525
ENSG00000142615.8	0.121085	0.21784	1.82369
ENSG00000215704.10	0.099106	0.15958	1.28622
ENSG00000132906.18	6.27133	8.53884	13.3892
ENSG00000116138.13	5.71773	5.53304	5.70873
ENSG00000251866.1	0.0	0.0	0.0
ENSG00000272510.1	0.3034	0.194757	0.358621
ENSG00000116771.6	0.182897	0.235884	1.33492
ENSG00000237301.1	0.032143	0.028164	0.069816
ENSG00000235084.3	1.30835	1.11781	2.52099
ENSG00000252417.1	0.0	0.0	0.0
ENSG00000236500.1	0.0	0.0	0.0
ENSG00000197312.12	22.135	14.7443	9.83991
ENSG00000215695.2	2.16206	1.0882	0.441119
ENSG00000271742.1	0.188158	0.0	0.147196
ENSG00000116786.13	81.9375	64.2791	55.1278
ENSG00000237938.5	1.24361	0.996318	1.13289
ENSG00000162461.8	4.05905	3.55166	5.51868
ENSG00000224459.2	0.084329	0.087763	0.059577
ENSG00000162460.7	0.0	0.0	0.011461
ENSG00000162458.13	37.1395	32.5509	18.9532
ENSG00000224321.1	0.740438	0.649008	0.147496
ENSG00000233954.6	4.3842	5.29639	3.07023
ENSG00000178715.8	1.36282	1.24554	0.64369
ENSG00000179743.4	5.36121	3.7131	4.58951
ENSG00000065526.12	30.2868	22.0121	13.2628
ENSG00000270620.1	0.0	0.0	0.0
ENSG00000116809.12	23.3328	18.9746	18.2801
ENSG00000234607.2	0.0	0.0	0.0
ENSG00000231353.1	0.0	0.0	0.0
ENSG00000275503.1	0.0	0.0	0.0
ENSG00000224966.4	0.0	0.0	0.0
ENSG00000183888.4	0.0229905	0.015453	0.0
ENSG00000173641.18	181.983	146.876	92.793
ENSG00000186510.12	0.594725	0.809907	2.64526
ENSG00000232456.1	0.0602025	0.052909	1.24156
ENSG00000184908.20	0.114882	0.352384	1.07743
ENSG00000185519.9	0.340662	0.234869	6.00392
ENSG00000142627.13	26.8667	36.3359	12.1251
ENSG00000227959.2	0.427523	0.433146	0.333579
ENSG00000224621.1	0.320094	0.28932	0.225102
ENSG00000142632.17	6.37721	5.69312	18.495
ENSG00000237276.9	0.999554	0.865504	3.98588
ENSG00000288398.1	1.69543	2.02011	7.92817
ENSG00000132881.12	2.25068	2.67156	7.19717
ENSG00000233929.1	1.48795	2.10583	0.596246
ENSG00000037637.11	11.1294	9.26956	7.39672
ENSG00000055070.17	55.1421	51.291	50.1657
ENSG00000226457.1	0.182368	0.143769	0.120406
ENSG00000187144.11	0.06839	0.028512	0.023778
ENSG00000157191.20	60.7836	54.7984	44.2393
ENSG00000226029.1	2.25689	1.57985	1.64619
ENSG00000080947.15	3.70275	3.01451	3.95142
ENSG00000206652.1	0.0	0.0	0.0
ENSG00000261135.1	0.117886	0.060252	0.43836
ENSG00000224174.2	0.0	0.0	0.0
ENSG00000233421.5	0.036299	0.047132	0.120239
ENSG00000277344.1	0.0	0.0	0.0
ENSG00000225710.1	0.0	0.0	0.0
ENSG00000219481.11	2.95996	2.81746	10.3743
ENSG00000271732.1	0.0	0.0	0.53698
ENSG00000215908.10	18.2986	15.2278	14.6311
ENSG00000186301.8	2.26831	2.68605	11.0664
